iPolicy;jPolicy;W;HRS;N;C;P;L;H;V;queriesCount;isFFU;missRatio
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;33;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;33;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;33;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;33;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;33;0;5000;500;TRUE;74.314
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;33;0;5000;500;TRUE;48.667
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;33;0;5000;500;TRUE;53.874
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;33;0;5000;500;TRUE;81.719
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;40;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;40;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;40;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;40;0;5000;500;TRUE;94.462
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;40;0;5000;500;TRUE;67.72
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;40;0;5000;500;TRUE;44.994
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;40;0;5000;500;TRUE;85.078
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;48;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;48;0;5000;500;TRUE;99.778
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;48;0;5000;500;TRUE;99.113
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;48;0;5000;500;TRUE;97.89
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;48;0;5000;500;TRUE;70.13
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;48;0;5000;500;TRUE;45.554
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;48;0;5000;500;TRUE;74.048
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;58;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;58;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;58;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;58;0;5000;500;TRUE;91.97
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;58;0;5000;500;TRUE;62.35
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;58;0;5000;500;TRUE;40.647
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;58;0;5000;500;TRUE;70.511
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;70;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;70;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;70;0;5000;500;TRUE;98.573
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;70;0;5000;500;TRUE;85.117
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;70;0;5000;500;TRUE;55.135
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;70;0;5000;500;TRUE;35.534
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;70;0;5000;500;TRUE;71.284
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;84;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;84;0;5000;500;TRUE;92.963
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;84;0;5000;500;TRUE;93.151
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;84;0;5000;500;TRUE;84.706
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;84;0;5000;500;TRUE;53.352
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;84;0;5000;500;TRUE;67.117
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;101;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;101;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;101;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;101;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;101;0;5000;500;TRUE;55.615
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;101;0;5000;500;TRUE;29.434
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;2;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;2;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;2;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;2;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;2;1;5000;500;TRUE;86.466
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;2;1;5000;500;TRUE;68.2
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;2;1;5000;500;TRUE;56.026
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;2;1;5000;500;TRUE;83.438
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;2;1;5000;500;TRUE;95.43
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;2;1;5000;500;TRUE;98.619
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1024;2;1;5000;500;TRUE;99.556
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2048;2;1;5000;500;TRUE;99.852
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;3;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;3;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;3;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;3;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;3;1;5000;500;TRUE;86.034
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;3;1;5000;500;TRUE;67.483
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;3;1;5000;500;TRUE;54.406
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;3;1;5000;500;TRUE;82.026
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;3;1;5000;500;TRUE;94.854
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;3;1;5000;500;TRUE;98.219
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1024;3;1;5000;500;TRUE;99.759
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;4;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;4;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;4;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;4;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;4;1;5000;500;TRUE;85.78
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;4;1;5000;500;TRUE;67.018
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;4;1;5000;500;TRUE;55.54
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;4;1;5000;500;TRUE;84.333
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;4;1;5000;500;TRUE;95.754
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;4;1;5000;500;TRUE;98.49
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1024;4;1;5000;500;TRUE;99.52
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;5;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;5;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;5;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;5;1;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;5;1;5000;500;TRUE;85.458
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;5;1;5000;500;TRUE;66.241
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;5;1;5000;500;TRUE;55.375
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;5;1;5000;500;TRUE;84.493
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;5;1;5000;500;TRUE;96.095
